Happiness Score,Economy (GDP per Capita),Generosity
4.085,0.275,0.177
4.015,0.755,0.2
3.975,0.073,0.233
3.973,0.274,0.275
3.933,0.274,0.169
3.802,0.489,0.107
3.775,0.046,0.176
3.663,0.366,0.151
3.597,0.323,0.419
3.488,1.041,0.025
3.462,0.619,0.331
3.41,0.191,0.218
3.38,0.287,0.108
3.334,0.359,0.217
3.231,0.476,0.276
3.203,0.35,0.158
3.083,0.026,0.235
2.853,0.306,0.202
7.808700085,1.285189509,-0.059482019
7.645599842,1.326948524,0.066201776
7.559899807,1.39077425,0.105911039
7.504499912,1.326501608,0.246944219
7.487999916,1.42420733,0.13453263
7.448900223,1.338946342,0.20761244
7.353499889,1.322235227,0.111614622
7.299600124,1.242317915,0.191598073
7.294199944,1.317285538,0.085429221
7.237500191,1.536676049,-0.004620588
7.23210001,1.301647663,0.124770768
7.222799778,1.310396433,0.19046016
7.164500237,1.273061037,0.263732493
7.128600121,1.216463685,0.10259372
7.121399879,0.981107712,-0.10242971
7.093699932,1.446886778,0.145784974
7.075799942,1.314184546,0.080179386
6.939599991,1.37398684,0.149891734
6.910900116,1.212322354,-0.230861515
6.863500118,1.295842767,-0.078691199
6.790800095,1.431086421,0.123450845
6.772799969,1.252513289,0.214965805
6.663799763,1.268129349,-0.130641967
6.465000153,1.024387479,-0.175266623
6.45539999,1.327470541,-0.073198698
6.440100193,1.071000457,-0.101103112
6.406499863,1.334328532,-0.168695062
6.400899887,1.230535269,-0.050961714
6.398900032,0.753815711,-0.042938665
6.38740015,1.236396074,-0.043460999
6.377099991,1.519580126,0.029879224
6.375599861,0.952679873,-0.101812392
6.363399982,1.208652496,-0.080603383
6.34829998,0.748940408,-0.121072978
6.325200081,0.840481341,0.190933764
6.304800034,1.097667813,-0.153927714
6.280600071,1.194837689,-0.124409303
6.257599831,0.696652949,0.248427153
6.228499889,1.096992493,-0.065668367
6.227300167,1.296692252,0.13372919
6.215499878,1.193559647,-0.219725296
6.191899776,1.167641521,0.000526841
6.186299801,1.16922915,-0.205084071
6.163400173,0.93220371,-0.161235645
6.15899992,1.21279943,0.043731496
6.13710022,0.620033145,0.020959141
6.123700142,1.120401621,-0.19781521
6.102099895,1.424833655,-0.100184701
6.101299763,1.07366395,-0.018318573
6.057899952,1.122594237,-0.068488635
6.021800041,1.192441225,-0.111697771
6.006000042,0.775120676,-0.105463006
6.000400066,1.164307117,-0.194323018
5.998799801,1.007029295,0.268685192
5.974699974,1.028465629,-0.194913864
5.953199863,0.598763585,0.086969115
5.949999809,1.14139545,-0.186888844
5.925199986,0.853383601,-0.127014965
5.910900116,1.168800831,-0.220714301
5.889800072,0.779058397,-0.125106767
5.872399807,1.245300651,-0.043404032
5.870800018,1.26672411,-0.246910349
5.796800137,0.91854918,-0.16238822
5.77820015,0.988181829,-0.073676221
5.747499943,0.730976343,-0.09168113
5.69329977,0.616799474,0.04489987
5.692100048,0.897990823,0.007997713
5.689199924,0.983191848,-0.131263286
5.674099922,0.91839546,0.098274559
5.607500076,0.707916796,-0.037741039
5.555699825,0.474874616,-0.025088511
5.54610014,1.010150075,-0.075600356
5.546000004,1.126999617,-0.151153743
5.541500092,0.513180971,0.154772058
5.539899826,1.018854499,-0.164926544
5.53550005,1.21279943,0.000227159
5.514999866,1.128070116,-0.300907373
5.510399818,1.376746058,0.134979904
5.504700184,1.109024286,-0.128538325
5.488800049,1.021913767,-0.085054487
5.456200123,0.904872775,0.098093867
5.384300232,1.168421626,0.114726797
5.353499889,0.718092382,-0.094533332
5.285600185,0.891720712,0.519586504
5.233300209,0.537094414,-0.043991156
5.21600008,0.366244704,-0.003537213
5.197599888,0.937864304,0.038085498
5.194399834,0.633616745,-0.123674095
5.164800167,0.990272701,-0.240255281
5.159800053,0.935371995,-0.019877451
5.147999763,0.575862467,0.094170853
5.137199879,0.444050372,0.154168829
